ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P501A_17,P501AA_17,P501A_18,P501AA_18,P501A_19,P501AA_19,P501A_20,P501AA_20,P501A_21,P501AA_21,P501A_22,P501AA_22,OMICAP500
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00020,2,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00029,3,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00038,4,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00052,5,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00077,8,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00087,9,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00100,10,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00101,11,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00107,13,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00112,14,Completa,Costa,Costa Norte,8.642857142857142,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00005,1,Completa,Costa,Costa Norte,11.545454545454545,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00018,2,Completa,Costa,Costa Norte,11.545454545454545,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00027,3,Completa,Costa,Costa Norte,11.545454545454545,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00038,4,Completa,Costa,Costa Norte,11.545454545454545,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00050,6,Completa,Costa,Costa Norte,11.545454545454545,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00063,7,Completa,Costa,Costa Norte,11.545454545454545,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00076,10,Completa,Costa,Costa Norte,11.545454545454545,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00087,11,Completa,Costa,Costa Norte,11.545454545454545,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00100,12,Completa,Costa,Costa Norte,11.545454545454545,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00114,13,Completa,Costa,Costa Norte,11.545454545454545,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00125,14,Completa,Costa,Costa Norte,11.545454545454545,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00011,1,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00032,4,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00035,5,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00050,7,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00060,8,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00077,9,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00081,10,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00101,12,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00113,13,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00014,2,Completa,Costa,Costa Norte,18.0,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00035,3,Completa,Costa,Costa Norte,18.0,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00049,4,Completa,Costa,Costa Norte,18.0,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00070,5,Completa,Costa,Costa Norte,18.0,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00120,9,Completa,Costa,Costa Norte,18.0,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00138,10,Completa,Costa,Costa Norte,18.0,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00151,11,Completa,Costa,Costa Norte,18.0,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00181,12,Completa,Costa,Costa Norte,18.0,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00199,13,Completa,Costa,Costa Norte,18.0,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00208,14,Completa,Costa,Costa Norte,18.0,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00019,3,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00081,12,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00088,13,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,Sí,15.0,Sí,15.0,No,,
2021.0,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00096,14,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00008,00008,1,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00008,00102,12,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,00043,5,Completa,Costa,Costa Norte,9.601851851851851,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,00071,9,Completa,Costa,Costa Norte,9.601851851851851,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00011,00033,5,Completa,Costa,Costa Norte,8.863247863247864,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00011,00036,6,Completa,Costa,Costa Norte,8.863247863247864,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00011,00076,10,Completa,Costa,Costa Norte,8.863247863247864,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00013,00002,1,Completa,Costa,Costa Norte,10.909090909090908,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00014,00046,7,Completa,Costa,Costa Norte,9.601851851851851,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00014,00063,10,Completa,Costa,Costa Norte,9.601851851851851,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00014,00073,12,Completa,Costa,Costa Norte,9.601851851851851,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00015,00006,1,Completa,Costa,Costa Norte,9.601851851851853,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00033,5,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00041,7,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00055,9,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00016,00065,10,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00017,00018,4,Completa,Costa,Costa Norte,8.23015873015873,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00018,00051,10,Completa,Costa,Costa Norte,8.23015873015873,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00018,00076,14,Completa,Costa,Costa Norte,8.23015873015873,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00019,00023,5,Completa,Costa,Costa Norte,8.863247863247862,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00021,00001,1,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00021,00032,6,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00021,00055,9,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00021,00079,13,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00021,00080,14,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00022,00001,1,Completa,Costa,Costa Norte,12.80246913580247,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00022,00023,6,Completa,Costa,Costa Norte,12.80246913580247,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00022,00025,7,Completa,Costa,Costa Norte,12.80246913580247,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,02,CORRALES,00022,00066,13,Completa,Costa,Costa Norte,12.80246913580247,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,01,TUMBES,00024,00041,5,Completa,Costa,Costa Norte,10.474747474747474,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,01,TUMBES,00026,00060,8,Completa,Costa,Costa Norte,9.615384615384615,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,01,TUMBES,00026,00090,11,Completa,Costa,Costa Norte,9.615384615384615,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00033,6,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,01,TUMBES,00029,00002,1,Completa,Costa,Costa Norte,10.5,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,01,TUMBES,00029,00036,6,Completa,Costa,Costa Norte,10.5,Pequeños y medianos productores/as agropecuarios/as,Pase,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,01,TUMBES,00029,00060,8,Completa,Costa,Costa Norte,10.5,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00030,00044,7,Completa,Costa,Costa Norte,8.23015873015873,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00031,00018,3,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
2021.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00031,00026,4,Completa,Costa,Costa Norte,8.230158730158731,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,Sí,25.0,No,,
2021.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00007,2,Completa,Costa,Costa Norte,10.23076923076923,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,No,,No,,No,,No,,No,,No,,
