ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2018.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00172,11,,Completa,Costa,Costa Norte,15.428571428571429,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,1200.0,000,ATADO,02,30.0,0.0,000,,,,1200.0,000,0.0,000,
2018.0,24,TUMBES,01,TUMBES,02,CORRALES,00018,00016,4,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,10.0,000,TERCIO,20,10.0,10.0,000,3.0,00,30.0,0.0,000,0.0,000,
2018.0,24,TUMBES,01,TUMBES,02,CORRALES,00018,00032,7,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,20.0,000,CARGA,09,40.0,20.0,000,6.0,00,120.0,0.0,000,0.0,000,
2018.0,24,TUMBES,01,TUMBES,02,CORRALES,00018,00034,8,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,0.0,500,LOTE,37,500.0,0.0,500,80.0,00,40.0,0.0,000,0.0,000,
2018.0,24,TUMBES,01,TUMBES,02,CORRALES,00019,00036,5,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,200.0,000,TERCIO,20,30.0,0.0,000,,,,0.0,000,200.0,000,
2018.0,24,TUMBES,01,TUMBES,02,CORRALES,00020,00003,1,,Completa,Costa,Costa Norte,8.05252100840336,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,1.0,000,TONELADA,22,1000.0,1.0,000,150.0,00,150.0,0.0,000,0.0,000,
2018.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00002,1,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,200.0,000,KILO,12,1.0,0.0,000,,,,200.0,000,0.0,000,
2018.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00031,6,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,32.0,000,CARGA,09,60.0,0.0,000,,,,32.0,000,0.0,000,
2018.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00030,00017,3,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,15.0,000,CARGA,09,80.0,15.0,000,5.0,00,75.0,0.0,000,0.0,000,
2018.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00030,00084,14,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,250.0,000,CARGA,09,70.0,0.0,000,,,,250.0,000,0.0,000,
2018.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00037,00031,7,,Completa,Costa,Costa Norte,8.05252100840336,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,7.0,000,CARGA,09,100.0,7.0,000,8.0,00,56.0,0.0,000,0.0,000,
2018.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00039,00076,10,,Completa,Costa,Costa Norte,8.071428571428571,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,50.0,000,CARGA,09,70.0,20.0,000,6.0,00,120.0,20.0,000,10.0,000,
2018.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00040,00002,1,,Completa,Costa,Costa Norte,8.928571428571429,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,4.0,000,CAMIONADA,08,1000.0,0.0,000,,,,4.0,000,0.0,000,
2018.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00040,00085,11,,Completa,Costa,Costa Norte,8.928571428571429,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,1.0,000,CAMIONADA,08,1000.0,0.0,000,,,,1.0,000,0.0,000,
2018.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00041,00036,4,,Completa,Costa,Costa Norte,11.071428571428573,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,40.0,000,CARGA,09,60.0,0.0,000,,,,40.0,000,0.0,000,
2018.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00046,00002,1,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,400.0,000,KILO,12,1.0,0.0,000,,,,400.0,000,0.0,000,
2018.0,24,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00056,00123,13,,Completa,Costa,Costa Norte,9.642857142857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,15.0,000,TERCIO,20,15.0,0.0,000,,,,0.0,000,15.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00258,00021,3,,Completa,Costa,Costa Norte,134.25198938992042,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,10.0,000,QUINTAL,18,46.0,0.0,000,,,,10.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00258,00040,5,,Completa,Costa,Costa Norte,134.25198938992042,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,14.0,000,SACO,19,50.0,0.0,000,,,,0.0,000,14.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00258,00054,7,,Completa,Costa,Costa Norte,134.25198938992042,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,17.0,000,SACO,19,50.0,0.0,000,,,,17.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00258,00100,12,,Completa,Costa,Costa Norte,134.25198938992042,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,20.0,000,QUINTAL,18,50.0,0.0,000,,,,20.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00258,00106,14,,Completa,Costa,Costa Norte,134.25198938992042,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,80.0,000,SACO,19,50.0,80.0,000,5.0,00,400.0,0.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00007,1,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,50.0,000,CARGA,09,20.0,0.0,000,,,,0.0,000,50.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00018,2,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,40.0,000,CARGA,09,20.0,0.0,000,,,,40.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00030,4,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,115.0,000,TERCIO,20,20.0,0.0,000,,,,0.0,000,115.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00047,6,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,40.0,000,CARGA,09,20.0,0.0,000,,,,0.0,000,40.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00049,7,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,5.0,000,CARGA,09,20.0,0.0,000,,,,0.0,000,5.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00076,10,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,25.0,000,CARGA,09,20.0,0.0,000,,,,25.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00112,14,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,20.0,000,CARGA,09,20.0,0.0,000,,,,20.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00009,1,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,500.0,000,CARGA,09,20.0,0.0,000,,,,500.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00022,2,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,15.0,000,CARGA,09,20.0,0.0,000,,,,0.0,000,15.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00027,3,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,40.0,000,CARGA,09,20.0,0.0,000,,,,40.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00032,4,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,75.0,000,CARGA,09,20.0,0.0,000,,,,75.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00036,5,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,200.0,000,CARGA,09,20.0,0.0,000,,,,200.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00052,7,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,6000.0,000,CARGA,09,20.0,0.0,000,,,,6000.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00078,9,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,150.0,000,CARGA,09,20.0,0.0,000,,,,150.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00090,11,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,260.0,000,CARGA,09,20.0,0.0,000,,,,0.0,000,260.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00099,13,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,15.0,000,CARGA,09,20.0,0.0,000,,,,15.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00101,14,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,600.0,000,CARGA,09,20.0,0.0,000,,,,600.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00034,5,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,8.0,000,CARGA,09,20.0,0.0,000,,,,8.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00057,7,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ AMILACEO,2108.0,CHALA DE MAIZ,4105.0,20.0,000,CARGA,09,20.0,0.0,000,,,,0.0,000,20.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00009,1,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,PANCA DE CHOCLO,4129.0,5.0,000,SACO,19,50.0,0.0,000,,,,5.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00018,2,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108.0,CHALA DE MAIZ,4105.0,1.0,000,QUINTAL,18,45.0,0.0,000,,,,1.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00041,4,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108.0,CHALA DE MAIZ,4105.0,1250.0,000,KILO,12,1.0,0.0,000,,,,0.0,000,1250.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00057,5,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108.0,CHALA DE MAIZ,4105.0,6.0,000,TONELADA,22,1000.0,0.0,000,,,,6.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00103,9,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAMOTE,2603.0,HOJA DE CAMOTE,4120.0,10.0,000,KILO,12,1.0,0.0,000,,,,10.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00111,11,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,PANCA DE CHOCLO,4129.0,30.0,000,SACO,19,50.0,0.0,000,,,,30.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00129,12,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,100.0,000,KILO,12,1.0,0.0,000,,,,0.0,000,100.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00141,13,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108.0,CHALA DE MAIZ,4105.0,2000.0,000,KILO,12,1.0,0.0,000,,,,2000.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00156,14,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,4.0,000,TONELADA,22,1000.0,0.0,000,,,,4.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00291,00008,1,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,700.0,000,KILO,12,1.0,0.0,000,,,,700.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00291,00056,4,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1000.0,000,KILO,12,1.0,0.0,000,,,,0.0,000,1000.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00291,00072,5,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1500.0,000,KILO,12,1.0,0.0,000,,,,1500.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00291,00125,8,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,700.0,000,KILO,12,1.0,0.0,000,,,,700.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00291,00144,9,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1000.0,000,KILO,12,1.0,1000.0,000,0.0,25,250.0,0.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00291,00183,13,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1000.0,000,KILO,12,1.0,0.0,000,,,,500.0,000,500.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00291,00201,14,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,7000.0,000,KILO,12,1.0,0.0,000,,,,7000.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00010,1,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108.0,CHALA DE MAIZ,4105.0,52.0,000,CARGA,09,20.0,0.0,000,,,,52.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00027,2,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,3.0,000,CARGA,09,20.0,0.0,000,,,,3.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00048,3,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108.0,CHALA DE MAIZ,4105.0,50.0,000,SACO,19,30.0,0.0,000,,,,0.0,000,50.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00050,4,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108.0,CHALA DE MAIZ,4105.0,15.0,000,SAQUIILLO,88,15.0,0.0,000,,,,15.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00068,5,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108.0,CHALA DE MAIZ,4105.0,1000.0,000,SACO,19,30.0,0.0,000,,,,1000.0,000,0.0,000,
