ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,TipoMuestra,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P419_N,P419_NOM,P419_COD,P421_1,P421_2,P421_3
2014.0,Tumbes,TUMBES,01,TUMBES,03,LA CRUZ,00007,00087,12,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Tumbes,TUMBES,01,TUMBES,02,CORRALES,00020,00058,10,,Muestral,Completa,COSTA,COSTA NORTE,8.0519480519,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,Otros
2014.0,Tumbes,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00033,00066,10,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Tumbes,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00033,00085,13,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,Otros
2014.0,Tumbes,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00050,00001,1,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,Otros
2014.0,Tumbes,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00053,00084,11,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Tumbes,TUMBES,03,ZARUMILLA,03,MATAPALO,00070,00017,3,,Muestral,Completa,COSTA,COSTA NORTE,10.8571428571,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,05,PAITA,04,COLAN,00101,00073,1,GRANJAS Y ESTABLOS,Muestral,Completa,COSTA,,4.6491935,Grandes productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,0.0,0.0
2014.0,Piura,PIURA,05,PAITA,04,COLAN,00101,00073,1,GRANJAS Y ESTABLOS,Muestral,Completa,COSTA,,4.6491935,Grandes productores/as agropecuarios/as,Agricola,Pecuaria,2.0,YOGURT,4213.0,Venta,0.0,0.0
2014.0,Piura,PIURA,06,SULLANA,01,SULLANA,00238,00118,4,GRANJAS AVÍCOLAS,Muestral,Completa,COSTA,,5.5106383,Grandes productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,0.0,0.0
2014.0,Piura,PIURA,06,SULLANA,06,MIGUEL CHECA,00248,00083,1,EMPRESAS,Muestral,Completa,COSTA,,5.7039711,Grandes productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,Venta,0.0,0.0
2014.0,Piura,PIURA,02,AYABACA,03,JILILI,00275,00008,2,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,09,SICCHEZ,00283,00025,4,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,09,SICCHEZ,00283,00032,5,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,09,SICCHEZ,00283,00048,8,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,09,SICCHEZ,00283,00055,9,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,09,SICCHEZ,00283,00081,13,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,01,AYABACA,00303,00008,1,,Muestral,Completa,SIERRA,SIERRA NORTE,79.025,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,01,AYABACA,00303,00189,12,,Muestral,Completa,SIERRA,SIERRA NORTE,79.025,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,01,AYABACA,00311,00075,7,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,01,AYABACA,00311,00141,14,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,01,AYABACA,00325,00033,5,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,01,AYABACA,00336,00001,1,,Muestral,Completa,SIERRA,SIERRA NORTE,79.025,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,01,AYABACA,00336,00146,11,,Muestral,Completa,SIERRA,SIERRA NORTE,79.025,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,01,AYABACA,00336,00152,13,,Muestral,Completa,SIERRA,SIERRA NORTE,79.025,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,01,AYABACA,00336,00162,14,,Muestral,Completa,SIERRA,SIERRA NORTE,79.025,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,05,MONTERO,00357,00075,10,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,05,MONTERO,00357,00081,11,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,Otros
2014.0,Piura,PIURA,02,AYABACA,06,PACAIPAMPA,00413,00079,10,,Muestral,Completa,SIERRA,SIERRA NORTE,85.6104166667,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,06,PACAIPAMPA,00413,00098,12,,Muestral,Completa,SIERRA,SIERRA NORTE,85.6104166667,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,06,PACAIPAMPA,00430,00055,6,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,06,PACAIPAMPA,00430,00079,8,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,06,PACAIPAMPA,00432,00177,13,,Muestral,Completa,SIERRA,SIERRA NORTE,85.6104166667,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,ARTICULOS DE LANA O CUERO,4201.0,0.0,0.0,Otros
2014.0,Piura,PIURA,02,AYABACA,06,PACAIPAMPA,00449,00019,2,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,06,PACAIPAMPA,00449,00027,3,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,Venta,0.0,0.0
2014.0,Piura,PIURA,02,AYABACA,06,PACAIPAMPA,00449,00046,4,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,02,FRIAS,00463,00007,1,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,02,FRIAS,00463,00013,2,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,02,FRIAS,00463,00033,4,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,02,FRIAS,00463,00042,6,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,02,FRIAS,00463,00063,8,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,02,FRIAS,00463,00100,12,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,02,FRIAS,00463,00109,13,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,02,AYABACA,02,FRIAS,00463,00117,14,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00487,00004,1,,Muestral,Completa,SIERRA,SIERRA NORTE,85.6104166667,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,Otros
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00487,00026,5,,Muestral,Completa,SIERRA,SIERRA NORTE,85.6104166667,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00487,00048,8,,Muestral,Completa,SIERRA,SIERRA NORTE,85.6104166667,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00487,00056,9,,Muestral,Completa,SIERRA,SIERRA NORTE,85.6104166667,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00492,00114,10,,Muestral,Completa,SIERRA,SIERRA NORTE,93.3931818182,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00492,00144,13,,Muestral,Completa,SIERRA,SIERRA NORTE,93.3931818182,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00504,00008,1,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00504,00032,5,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00504,00071,10,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00504,00088,12,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00511,00004,1,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,Otros
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00511,00023,3,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00511,00030,4,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00511,00051,6,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,Otros
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00511,00110,10,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,Otros
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00525,00075,7,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,Otros
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00525,00107,9,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00525,00110,10,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00525,00119,11,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00528,00060,6,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00528,00076,8,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00528,00095,10,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00528,00123,13,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00528,00136,14,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00533,00120,13,,Muestral,Completa,SIERRA,SIERRA NORTE,79.025,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,03,EL CARMEN DE LA FRONTERA,00538,00060,8,,Muestral,Completa,SIERRA,SIERRA NORTE,128.415625,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,03,EL CARMEN DE LA FRONTERA,00538,00069,10,,Muestral,Completa,SIERRA,SIERRA NORTE,128.415625,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,03,EL CARMEN DE LA FRONTERA,00538,00087,12,,Muestral,Completa,SIERRA,SIERRA NORTE,128.415625,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,03,EL CARMEN DE LA FRONTERA,00557,00049,6,,Muestral,Completa,SIERRA,SIERRA NORTE,146.7607142857,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,0.0,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,07,SONDOR,00566,00003,1,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,Otros
2014.0,Piura,PIURA,03,HUANCABAMBA,07,SONDOR,00566,00006,2,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,pase,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,07,SONDOR,00566,00076,11,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,07,SONDOR,00566,00097,13,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,0.0,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,07,SONDOR,00566,00107,14,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,07,SONDOR,00568,00002,1,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,Otros
2014.0,Piura,PIURA,03,HUANCABAMBA,08,SONDORILLO,00605,00067,7,,Muestral,Completa,SIERRA,SIERRA NORTE,93.3931818182,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,08,SONDORILLO,00605,00127,13,,Muestral,Completa,SIERRA,SIERRA NORTE,93.3931818182,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,02,CANCHAQUE,00614,00122,13,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,02,CANCHAQUE,00623,00041,5,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,02,CANCHAQUE,00623,00083,8,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,06,SAN MIGUEL DE EL FAIQUE,00638,00008,4,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,Otros
2014.0,Piura,PIURA,03,HUANCABAMBA,06,SAN MIGUEL DE EL FAIQUE,00638,00019,6,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,Venta,Consumo del hogar,0.0
2014.0,Piura,PIURA,03,HUANCABAMBA,06,SAN MIGUEL DE EL FAIQUE,00638,00022,7,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,QUESO,4208.0,0.0,Consumo del hogar,0.0
