ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,FACTOR,CODIGO,P101A,P102_1,P102_2,P404AA_1,P404AA_2,P404AA_3,P404AA_4,P404AA_5,P404AA_6,P410AA,P410AB1,P410AB2,P410AC_CANT_1,P410AC_CANT_2,P410AD,P410AD1,P410AE,OMICAP400_02
2018.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00014,2,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,4.0,1.0,0.0,120,60.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00021,4,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Sociedad de responsabilidad limitada (SRL)?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,9.0,0.0,0.0,200,100.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,18,POMALCA,01760,00023,5,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,3.0,0.0,0.0,060,30.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,01,CHICLAYO,01761,00073,1,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,3.0,0.0,0.0,080,40.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,01,CHICLAYO,01761,00087,2,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,3.0,2.0,0.0,100,50.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,06,LA VICTORIA,01768,00026,1,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Empresa individual de responsabilidad limitada (EIRL)?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,13.0,0.0,0.0,350,160.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,06,LA VICTORIA,01768,00089,2,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,20.0,0.0,0.0,540,270.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,06,LA VICTORIA,01768,00127,3,Granjas y Establos,Completa,Costa,1.0241935483870968,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,Pase,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,40.0,10.0,0.0,400,2500.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,06,LA VICTORIA,01768,00132,4,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,9.0,1.0,0.0,240,120.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,06,LA VICTORIA,01768,00149,5,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,12.0,1.0,0.0,320,160.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,08,MONSEFU,01785,00084,2,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,1.0,0.0,0.0,030,15.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,08,MONSEFU,01789,00096,3,Granjas Avícolas,Completa,Costa,4.223076923076923,Grandes productores/as agropecuarios/as,¿Sociedad de responsabilidad limitada (SRL)?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de gallina de postura,5.0,1.0,0.0,692,37000.0,Manual?,Pozo,
2018.0,14,LAMBAYEQUE,01,CHICLAYO,08,MONSEFU,01793,00066,4,Granjas y Establos,Completa,Costa,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,2.0,0.0,0.0,060,30.0,Manual?,Pozo,
2018.0,06,CAJAMARCA,09,SAN IGNACIO,01,SAN IGNACIO,01829,00010,1,Persona Natural,Completa,Selva,3.4887892376681617,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,4.0,0.0,0.0,200,120.0,Manual?,Red pública,
2018.0,06,CAJAMARCA,08,JAEN,12,SANTA ROSA,02134,00075,2,Granjas y Establos,Completa,Selva,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,1.0,0.0,0.0,500,120.0,Manual?,Manantial,
2018.0,06,CAJAMARCA,08,JAEN,02,BELLAVISTA,02148,00182,2,Granjas y Establos,Completa,Selva,1.0241935483870968,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Centro de engorde vacuno?,Pase,Pase,Pase,Pase,Establo lechero,1.0,0.0,1.0,750,1750.0,Manual?,Río/riachuelo,
2018.0,06,CAJAMARCA,08,JAEN,02,BELLAVISTA,02148,00182,2,Granjas y Establos,Completa,Selva,1.0241935483870968,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Centro de engorde vacuno?,Pase,Pase,Pase,Pase,Centro de engorde vacuno,1.0,0.0,1.0,400,1750.0,Manual?,Río/riachuelo,
2018.0,06,CAJAMARCA,08,JAEN,01,JAEN,02158,00095,1,Granjas y Establos,Completa,Selva,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Sociedad de responsabilidad limitada (SRL)?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,47.0,0.0,0.0,200,1000.0,Manual?,Red pública,
2018.0,06,CAJAMARCA,08,JAEN,01,JAEN,02158,00095,1,Granjas y Establos,Completa,Selva,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Sociedad de responsabilidad limitada (SRL)?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pollo de engorde,0.0,1.0,0.0,050,1000.0,Manual?,Red pública,
2018.0,06,CAJAMARCA,08,JAEN,01,JAEN,02158,00095,1,Granjas y Establos,Completa,Selva,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Sociedad de responsabilidad limitada (SRL)?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de gallina de postura,1.0,1.0,0.0,050,2000.0,Manual?,Red pública,
2018.0,06,CAJAMARCA,06,CUTERVO,01,CUTERVO,02478,00013,1,Granjas Avícolas,Completa,Sierra,4.223076923076923,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,007,500.0,Manual?,Manantial,
2018.0,06,CAJAMARCA,06,CUTERVO,01,CUTERVO,02572,00017,3,Granjas y Establos,Completa,Sierra,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,1.0,0.0,0.0,120,48.0,Manual?,Pozo,
2018.0,06,CAJAMARCA,04,CHOTA,01,CHOTA,02760,00104,2,Granjas y Establos,Completa,Sierra,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,010,300.0,Manual?,Río/riachuelo,
2018.0,06,CAJAMARCA,04,CHOTA,01,CHOTA,02775,00064,4,Granjas y Establos,Completa,Sierra,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,002,200.0,Manual?,Red pública,
2018.0,06,CAJAMARCA,04,CHOTA,01,CHOTA,02835,00091,5,Granjas y Establos,Completa,Sierra,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,1.0,0.0,015,1000.0,Manual?,Red pública,
2018.0,06,CAJAMARCA,04,CHOTA,01,CHOTA,02853,00076,6,Granjas y Establos,Completa,Sierra,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,007,224.0,Manual?,Manantial,
2018.0,06,CAJAMARCA,04,CHOTA,08,CONCHAN,02876,00006,1,Granjas y Establos,Completa,Sierra,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,007,500.0,Manual?,Red pública,
2018.0,06,CAJAMARCA,04,CHOTA,19,CHALAMARCA,03019,00087,1,Granjas y Establos,Completa,Sierra,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,010,300.0,Manual?,Red pública,
2018.0,06,CAJAMARCA,01,CAJAMARCA,09,MAGDALENA,04245,00039,1,Granjas Avícolas,Completa,Sierra,4.223076923076923,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de gallina de postura,1.0,0.0,0.0,122,19800.0,Manual?,Manantial,
2018.0,06,CAJAMARCA,01,CAJAMARCA,09,MAGDALENA,04245,00053,2,Granjas Avícolas,Completa,Sierra,4.223076923076923,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pollo de engorde,1.0,1.0,0.0,056,5600.0,Manual?,Manantial,
2018.0,06,CAJAMARCA,01,CAJAMARCA,09,MAGDALENA,04256,00098,3,Granjas Avícolas,Completa,Sierra,4.223076923076923,Grandes productores/as agropecuarios/as,¿Sociedad de responsabilidad limitada (SRL)?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pollo de engorde,10.0,4.0,0.0,170,23520.0,Manual?,Red pública,
2018.0,06,CAJAMARCA,01,CAJAMARCA,09,MAGDALENA,04256,00098,3,Granjas Avícolas,Completa,Sierra,4.223076923076923,Grandes productores/as agropecuarios/as,¿Sociedad de responsabilidad limitada (SRL)?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de gallina de postura,5.0,3.0,0.0,130,39360.0,Manual?,Manantial,
2018.0,06,CAJAMARCA,01,CAJAMARCA,09,MAGDALENA,04256,00098,3,Granjas Avícolas,Completa,Sierra,4.223076923076923,Grandes productores/as agropecuarios/as,¿Sociedad de responsabilidad limitada (SRL)?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de reproductores padre de engorde,2.0,1.0,0.0,300,28000.0,Manual?,Red pública,
2018.0,06,CAJAMARCA,10,SAN MARCOS,04,GREGORIO PITA,04696,00078,1,Granjas y Establos,Completa,Sierra,1.0241935483870968,Grandes productores/as agropecuarios/as,Otro,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,018,1200.0,Manual?,Red pública,
2018.0,06,CAJAMARCA,10,SAN MARCOS,01,PEDRO GALVEZ,04778,00110,1,Granjas y Establos,Completa,Sierra,1.0241935483870968,Grandes productores/as agropecuarios/as,Otro,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,2.0,0.0,0.0,030,1200.0,Manual?,Red pública,
2018.0,06,CAJAMARCA,02,CAJABAMBA,03,CONDEBAMBA,04946,00074,1,Granjas y Establos,Completa,Sierra,1.0241935483870968,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,1.0,0.0,0.0,100,20.0,Manual?,Red pública,
2018.0,06,CAJAMARCA,02,CAJABAMBA,03,CONDEBAMBA,04946,00074,1,Granjas y Establos,Completa,Sierra,1.0241935483870968,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,060,2100.0,Manual?,Red pública,
2018.0,06,CAJAMARCA,02,CAJABAMBA,03,CONDEBAMBA,04946,00157,2,Granjas y Establos,Completa,Sierra,3.6873065015479876,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,2.0,0.0,0.0,069,5250.0,Manual?,Red pública,
2018.0,06,CAJAMARCA,02,CAJABAMBA,03,CONDEBAMBA,04965,00055,3,Granjas y Establos,Completa,Sierra,1.0241935483870968,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,024,1115.0,Manual?,Red pública,
2018.0,01,AMAZONAS,07,UTCUBAMBA,01,BAGUA GRANDE,05263,00087,1,Empresa,Completa,Selva,1.0089686098654709,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,¿Agrícola?,¿Pecuaria?,Pase,Centro de engorde vacuno?,Pase,Pase,Pase,Pase,Centro de engorde vacuno,3.0,0.0,3.0,000,1500.0,Automatico?,Red pública,
2018.0,01,AMAZONAS,03,BONGARA,12,YAMBRASBAMBA,05366,00141,3,Persona Natural,Completa,Selva,1.0674157303370786,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,8.0,8.0,0.0,090,400.0,Manual?,Río/riachuelo,
2018.0,01,AMAZONAS,03,BONGARA,07,JAZAN,05393,00088,1,Granjas y Establos,Completa,Selva,1.0241935483870968,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,Pase,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Granja porcina,10.0,0.0,11.0,600,11615.0,Automatico?,Manantial,
2018.0,01,AMAZONAS,03,BONGARA,07,JAZAN,05393,00088,1,Granjas y Establos,Completa,Selva,1.0241935483870968,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pollo de engorde,0.0,21.0,2.0,000,200000.0,Manual?,Manantial,
2018.0,01,AMAZONAS,05,LUYA,20,SANTA CATALINA,05420,00026,1,Persona Natural,Completa,Sierra,3.4887892376681617,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,020,3000.0,Manual?,Red pública,
2018.0,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,05494,00135,1,Granjas y Establos,Completa,Sierra,1.0241935483870968,Grandes productores/as agropecuarios/as,¿Sociedad de responsabilidad limitada (SRL)?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Granja de cuyes?,Pase,Pase,Granja de cuyes,1.0,0.0,0.0,035,1200.0,Manual?,Red pública,
2018.0,16,LORETO,01,MAYNAS,13,SAN JUAN BAUTISTA,05933,00067,1,Granjas Avícolas,Completa,Selva,1.007936507936508,Grandes productores/as agropecuarios/as,¿Empresa individual de responsabilidad limitada (EIRL)?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pollo de engorde,11.0,0.0,1.0,488,60000.0,Manual?,Pozo,
2018.0,16,LORETO,01,MAYNAS,01,IQUITOS,05949,00051,1,Granjas Avícolas,Completa,Selva,4.223076923076923,Grandes productores/as agropecuarios/as,¿Empresa individual de responsabilidad limitada (EIRL)?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pollo de engorde,9.0,0.0,0.0,108,5000.0,Manual?,Red pública,
2018.0,16,LORETO,06,UCAYALI,06,VARGAS GUERRA,06189,00106,1,Granjas Avícolas,Completa,Selva,4.223076923076923,Grandes productores/as agropecuarios/as,¿Persona natural?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pollo de engorde,2.0,0.0,0.0,014,1152.0,Manual?,Pozo,
