ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P229C,P204_NOM_200C,P204_COD_200C,P229C_NOM,P229C_COD,P229D_CANT_ENT,P229D_CANT_DEC,P229D_UM,P229D_UM_COD,P229_EQUIV,P229E_1_CANT_ENT,P229E_1_CANT_DEC,P229E_PREC_ENT,P229E_PREC_DEC,P229E_VAL,P229E_1_PRE_KG,P229E_2_ENT,P229E_2_DEC,P229E_3_ENT,P229E_3_DEC,OMICAP200_02
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00139,13,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,5.0,000,BALDE,03,5.0,0.0,000,,,,,5.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00315,00139,13,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,TRIGO,2113,HARINA DE TRIGO,4118.0,2.0,000,QUINTAL,18,50.0,1.0,000,250.0,00,250.0,5.0,0.0,500,0.0,500,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00326,00013,2,Completa,Sierra,Sierra Norte,85.61041666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA ALCOHOL,2807,AGUARDIENTE (CAÑAZO),4103.0,96.0,000,BOTELLA,05,1.0,96.0,000,8.0,00,768.0,8.0,0.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00326,00046,3,Completa,Sierra,Sierra Norte,85.61041666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,"CAÑA DE AZUCAR PARA CHANCACA, MAIZ AMILACEO","2809,2108",CHANCACA,4106.0,93.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,93.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00326,00046,3,Completa,Sierra,Sierra Norte,85.61041666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,98.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,98.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00326,00126,10,Completa,Sierra,Sierra Norte,85.61041666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,2.0,000,QUINTAL,18,48.0,0.0,000,,,,,2.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00326,00182,14,Completa,Sierra,Sierra Norte,85.61041666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,71.0,000,BALDE,03,18.0,11.0,000,112.0,00,1232.0,6.2222,45.0,000,15.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00326,00196,15,Completa,Sierra,Sierra Norte,85.61041666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,AGUARDIENTE (CAÑAZO),4103.0,2.0,000,LATA,13,20.0,1.0,600,160.0,00,256.0,8.0,0.0,200,0.0,200,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00326,00196,15,Completa,Sierra,Sierra Norte,85.61041666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,86.0,000,UNIDAD,24,0.5,75.0,000,1.0,20,90.0,2.4,11.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00336,00081,5,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,6.0,000,ARROBA,01,11.5,0.0,000,,,,,6.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,01,AYABACA,00336,00081,5,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,3.0,000,ARROBA,01,11.5,0.0,000,,,,,3.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,05,MONTERO,00352,00001,1,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,AGUARDIENTE (CAÑAZO),4103.0,258.0,000,LITRO,14,1.0,258.0,000,8.0,00,2064.0,8.0,0.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,05,MONTERO,00352,00010,2,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA ALCOHOL,2807,AGUARDIENTE (CAÑAZO),4103.0,70.0,000,LITRO,14,1.0,70.0,000,8.0,00,560.0,8.0,0.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,05,MONTERO,00352,00010,2,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,12.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,12.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,05,MONTERO,00352,00025,3,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,120.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,120.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,05,MONTERO,00352,00027,4,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,AGUARDIENTE (CAÑAZO),4103.0,373.0,000,LITRO,14,1.0,373.0,000,8.0,00,2984.0,8.0,0.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,05,MONTERO,00352,00042,5,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,AGUARDIENTE (CAÑAZO),4103.0,277.0,000,LITRO,14,1.0,277.0,000,15.0,00,4155.0,15.0,0.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,05,MONTERO,00352,00042,5,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,9.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,9.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,05,MONTERO,00352,00048,6,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,AGUARDIENTE (CAÑAZO),4103.0,405.0,000,LITRO,14,1.0,405.0,000,15.0,00,6075.0,15.0,0.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,05,MONTERO,00352,00055,7,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,AGUARDIENTE (CAÑAZO),4103.0,181.0,000,LITRO,14,1.0,181.0,000,8.0,00,1448.0,8.0,0.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,05,MONTERO,00352,00057,8,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,AGUARDIENTE (CAÑAZO),4103.0,181.0,000,LITRO,14,1.0,181.0,000,8.0,00,1448.0,8.0,0.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,05,MONTERO,00352,00065,9,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA ETANOL,2810,AGUARDIENTE (CAÑAZO),4103.0,256.0,000,LITRO,14,1.0,0.0,000,,,,,0.0,000,256.0,000,
2022.0,20,PIURA,02,AYABACA,05,MONTERO,00352,00079,10,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,AGUARDIENTE (CAÑAZO),4103.0,128.0,000,LITRO,14,1.0,128.0,000,15.0,00,1920.0,15.0,0.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,05,MONTERO,00352,00081,11,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,AGUARDIENTE (CAÑAZO),4103.0,128.0,000,LITRO,14,1.0,128.0,000,15.0,00,1920.0,15.0,0.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,05,MONTERO,00352,00083,12,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,AGUARDIENTE (CAÑAZO),4103.0,832.0,000,LITRO,14,1.0,832.0,000,15.0,00,12480.0,15.0,0.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,05,MONTERO,00352,00108,15,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,343.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,343.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,08,SAPILLICA,00380,00006,2,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,70.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,70.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,08,SAPILLICA,00380,00019,5,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,1.0,000,QUINTAL,18,50.0,0.0,000,,,,,1.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,08,SAPILLICA,00380,00033,6,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122.0,1.0,000,QUINTAL,18,50.0,0.0,000,,,,,1.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,08,SAPILLICA,00380,00077,13,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,2.0,000,QUINTAL,18,50.0,0.0,000,,,,,1.0,500,0.0,500,
2022.0,20,PIURA,02,AYABACA,08,SAPILLICA,00394,00006,2,Completa,Costa,Costa Norte,114.7687074829932,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,214.0,000,KILOGRAMO,12,1.0,161.0,000,3.0,00,483.0,3.0,53.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,04,LAGUNAS,00401,00077,7,Completa,Sierra,Sierra Norte,85.61041666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,TRIGO,2113,HARINA DE TRIGO,4118.0,5.0,000,QUINTAL,18,50.0,0.0,000,,,,,5.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,04,LAGUNAS,00401,00108,11,Completa,Sierra,Sierra Norte,85.61041666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,TRIGO,2113,HARINA DE TRIGO,4118.0,204.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,204.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,04,LAGUNAS,00401,00120,13,Completa,Sierra,Sierra Norte,85.61041666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,343.0,000,KILOGRAMO,12,1.0,343.0,000,2.0,50,858.0,2.5,0.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,04,LAGUNAS,00401,00121,14,Completa,Sierra,Sierra Norte,85.61041666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,TRIGO,2113,HARINA DE TRIGO,4118.0,2.0,000,QUINTAL,18,50.0,0.0,000,,,,,1.0,500,0.0,500,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00411,00006,1,Completa,Sierra,Sierra Norte,91.72544642857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,TRIGO,2113,HARINA DE TRIGO,4118.0,2.0,500,LATA,13,15.0,0.0,000,,,,,2.0,000,0.0,500,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00411,00017,3,Completa,Sierra,Sierra Norte,91.72544642857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,TRIGO,2113,HARINA DE TRIGO,4118.0,2.0,000,LATA,13,15.0,0.0,000,,,,,2.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00411,00026,5,Completa,Sierra,Sierra Norte,91.72544642857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,TRIGO,2113,HARINA DE TRIGO,4118.0,2.0,000,LATA,13,15.0,0.0,000,,,,,2.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00411,00026,5,Completa,Sierra,Sierra Norte,91.72544642857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,2.0,500,LATA,13,15.0,0.0,000,,,,,2.0,000,0.0,500,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00411,00029,6,Completa,Sierra,Sierra Norte,91.72544642857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,TRIGO,2113,HARINA DE TRIGO,4118.0,3.0,000,LATA,13,15.0,0.0,000,,,,,3.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00411,00034,7,Completa,Sierra,Sierra Norte,91.72544642857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,TRIGO,2113,HARINA DE TRIGO,4118.0,1.0,000,LATA,13,15.0,0.0,000,,,,,0.0,800,0.0,200,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00411,00060,8,Completa,Sierra,Sierra Norte,91.72544642857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,TRIGO,2113,HARINA DE TRIGO,4118.0,1.0,000,SACO,19,48.0,0.0,000,,,,,1.0,000,0.0,000,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00411,00060,8,Completa,Sierra,Sierra Norte,91.72544642857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,3.0,000,BALDE,03,5.0,0.0,000,,,,,2.0,000,1.0,000,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00411,00064,10,Completa,Sierra,Sierra Norte,91.72544642857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,TRIGO,2113,HARINA DE TRIGO,4118.0,2.0,000,LATA,13,15.0,0.0,000,,,,,1.0,500,0.0,500,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00411,00065,11,Completa,Sierra,Sierra Norte,91.72544642857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,3.0,000,BALDE,03,5.0,0.0,000,,,,,2.0,000,1.0,000,
