ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P229C,P204_NOM_200C,P204_COD_200C,P229C_NOM,P229C_COD,P229D_CANT_ENT,P229D_CANT_DEC,P229D_UM,P229D_UM_COD,P229_EQUIV,P229E_1_CANT_ENT,P229E_1_CANT_DEC,P229E_PREC_ENT,P229E_PREC_DEC,P229E_VAL,P229E_2_ENT,P229E_2_DEC,P229E_3_ENT,P229E_3_DEC,OMICAP200_02
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00049,7,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMARILLO DURO,2107,HARINA DE MAIZ,4115.0,0.0,500,SACO,19,50.0,0.0,000,,,,0.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00094,12,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CACAO,1202,TABLETAS DE CHOCOLATE,4135.0,3.0,500,KILO,12,1.0,0.0,000,,,,3.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00112,14,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122.0,0.0,500,QUINTAL,18,50.0,0.0,000,,,,0.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00259,00112,14,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMARILLO DURO,2107,HARINA DE MAIZ,4115.0,0.0,500,QUINTAL,18,50.0,0.0,000,,,,0.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00009,1,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107,HARINA DE MAIZ,4115.0,0.0,500,QUINTAL,18,50.0,0.0,000,,,,0.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00009,1,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122.0,0.0,500,QUINTAL,18,50.0,0.0,000,,,,0.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00032,4,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CACAO,1202,TABLETAS DE CHOCOLATE,4135.0,0.0,500,KILO,12,1.0,0.0,000,,,,0.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00052,7,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107,HARINA DE MAIZ,4115.0,10.0,000,QUINTAL,18,50.0,0.0,000,,,,10.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00052,7,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122.0,2.0,000,QUINTAL,18,50.0,0.0,000,,,,2.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00052,7,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3.0,CACAO,1202,TABLETAS DE CHOCOLATE,4135.0,0.0,500,KILO,12,1.0,0.0,000,,,,0.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00078,9,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122.0,0.0,500,QUINTAL,18,50.0,0.0,000,,,,0.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00078,9,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMARILLO DURO,2107,HARINA DE MAIZ,4115.0,0.0,500,QUINTAL,18,50.0,0.0,000,,,,0.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00099,13,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122.0,1.0,500,QUINTAL,18,50.0,0.0,000,,,,1.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00099,13,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMARILLO DURO,2107,HARINA DE MAIZ,4115.0,1.0,500,QUINTAL,18,50.0,0.0,000,,,,1.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00101,14,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,3.0,000,QUINTAL,18,50.0,0.0,000,,,,3.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,10,SUYO,00266,00101,14,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,2.0,000,QUINTAL,18,50.0,0.0,000,,,,2.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00026,4,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,100.0,000,QUINTAL,18,50.0,100.0,000,160.0,00,16000.0,0.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00034,5,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,13.0,000,QUINTAL,18,50.0,13.0,000,150.0,00,1950.0,0.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00057,7,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,1.0,000,QUINTAL,18,50.0,0.0,000,,,,1.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00095,9,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,3.0,000,QUINTAL,18,50.0,2.0,000,130.0,00,260.0,1.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00103,10,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,66.0,000,QUINTAL,18,50.0,66.0,000,140.0,00,9240.0,0.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00152,13,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,85.0,000,QUINTAL,18,50.0,85.0,000,140.0,00,11900.0,0.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00153,14,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,22.0,000,QUINTAL,18,50.0,16.0,000,130.0,00,2080.0,5.0,000,1.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00018,2,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,6.0,000,QUINTAL,18,45.0,2.0,000,50.0,00,100.0,4.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00037,3,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA ALCOHOL,2807,CHANCACA,4106.0,20.0,000,KILO,12,1.0,0.0,000,,,,20.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00057,5,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,20.0,000,QUINTAL,18,45.0,13.0,000,140.0,00,1820.0,7.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00076,7,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,14.0,000,QUINTAL,18,45.0,9.0,000,140.0,00,1260.0,5.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00141,13,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,0.0,500,QUINTAL,18,46.0,0.0,000,,,,0.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00291,00072,5,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,1.0,000,ARROBA,01,11.5,0.0,000,,,,1.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00010,1,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,7.0,000,QUINTAL,18,50.0,5.0,000,120.0,00,600.0,2.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00048,3,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,1.0,000,ARROBA,01,11.5,1.0,000,30.0,00,30.0,0.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00048,3,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,TRIGO,2113,HARINA DE TRIGO,4118.0,1.0,000,ARROBA,01,11.5,1.0,000,30.0,00,30.0,0.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00050,4,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,"CAÑA DE AZUCAR PARA CHANCACA, MAIZ AMILACEO","2809,2108",CHANCACA,4106.0,2.0,000,QUINTAL,18,50.0,1.0,000,100.0,00,100.0,1.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00050,4,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,1.0,000,ARROBA,01,11.5,0.0,000,,,,1.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00105,8,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,TRIGO,2113,HARINA DE TRIGO,4118.0,5.0,000,KILO,12,1.0,0.0,000,,,,5.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00130,10,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,TRIGO,2113,HARINA DE TRIGO,4118.0,0.0,500,QUINTAL,18,50.0,0.0,000,,,,0.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00153,11,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,2.0,000,KILO,12,1.0,0.0,000,,,,2.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00173,12,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,2.0,500,KILO,12,1.0,0.0,000,,,,2.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00188,13,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,20.0,000,QUINTAL,18,50.0,13.0,000,140.0,00,1820.0,7.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00313,00203,14,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,12.0,000,QUINTAL,18,50.0,12.0,000,140.0,00,1680.0,0.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00331,00021,2,,Completa,Sierra,Sierra Norte,73.38035714285714,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,22.0,000,KILO,12,1.0,0.0,000,,,,22.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00331,00021,2,,Completa,Sierra,Sierra Norte,73.38035714285714,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,2.0,000,QUINTAL,18,46.0,0.0,000,,,,2.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00331,00022,3,,Completa,Sierra,Sierra Norte,73.38035714285714,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,3.0,000,ARROBA,01,11.5,0.0,000,,,,3.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00331,00022,3,,Completa,Sierra,Sierra Norte,73.38035714285714,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,3.0,000,QUINTAL,18,46.0,2.0,000,150.0,00,300.0,1.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00004,1,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,2.0,000,LATA,13,15.0,0.0,000,,,,2.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00004,1,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,0.0,500,KILO,12,1.0,0.0,000,,,,0.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00022,4,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,0.0,686,QUINTAL,18,50.0,0.0,000,,,,0.0,686,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00022,4,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,TRIGO,2113,HARINA DE TRIGO,4118.0,2.0,000,LATA,13,15.0,0.0,000,,,,2.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00023,5,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,1.0,000,ARROBA,01,11.5,0.0,000,,,,1.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00030,6,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,1.0,500,SACO,19,50.0,0.0,000,,,,1.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00030,6,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,10.0,000,KILO,12,1.0,0.0,000,,,,10.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00041,7,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,TRIGO,2113,HARINA DE TRIGO,4118.0,0.0,500,LATA,13,15.0,0.0,000,,,,0.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00045,8,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,5.0,500,QUINTAL,18,50.0,0.0,000,,,,5.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00045,8,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,TRIGO,2113,HARINA DE TRIGO,4118.0,5.0,500,QUINTAL,18,50.0,0.0,000,,,,5.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00050,9,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,"CAÑA DE AZUCAR PARA CHANCACA, TRIGO","2809,2113",CHANCACA,4106.0,2.0,000,ARROBA,01,11.5,0.0,000,,,,2.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00050,9,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,TRIGO,2113,HARINA DE TRIGO,4118.0,1.0,000,LATA,13,15.0,0.0,000,,,,1.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00057,10,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,8.0,000,LATA,13,15.0,0.0,000,,,,8.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00057,10,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,8.0,000,LATA,13,15.0,0.0,000,,,,8.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00057,10,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3.0,TRIGO,2113,HARINA DE TRIGO,4118.0,10.0,000,LATA,13,15.0,0.0,000,,,,10.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00066,11,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,2.0,000,LATA,13,15.0,0.0,000,,,,2.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00066,11,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,1.0,500,LATA,13,15.0,0.0,000,,,,1.0,500,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00066,11,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,3.0,TRIGO,2113,HARINA DE TRIGO,4118.0,4.0,000,LATA,13,15.0,0.0,000,,,,4.0,000,0.0,000,
2018.0,20,PIURA,02,AYABACA,01,AYABACA,00339,00087,14,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,3.0,000,QUINTAL,18,50.0,0.0,500,100.0,00,50.0,2.0,500,0.0,000,
