ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,TipoMuestra,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P231_N,P231_NOM,P231_COD,P233_1,P233_2,P233_3,OMICAP200_02
2014.0,Tumbes,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00095,11,,Muestral,Completa,COSTA,COSTA NORTE,9.0714285714,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,02,CORRALES,00014,00011,2,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Pase,00
2014.0,Tumbes,TUMBES,01,TUMBES,02,CORRALES,00016,00011,2,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Pase,00
2014.0,Tumbes,TUMBES,01,TUMBES,02,CORRALES,00016,00035,6,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,02,CORRALES,00016,00064,10,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,02,CORRALES,00016,00064,10,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,2.0,HOJA DE CAMOTE,4120.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,02,CORRALES,00017,00025,4,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Pase,00
2014.0,Tumbes,TUMBES,01,TUMBES,02,CORRALES,00019,00075,12,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Pase,00
2014.0,Tumbes,TUMBES,01,TUMBES,02,CORRALES,00021,00005,1,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Pase,00
2014.0,Tumbes,TUMBES,01,TUMBES,02,CORRALES,00021,00020,3,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,02,CORRALES,00022,00048,9,,Muestral,Completa,COSTA,COSTA NORTE,10.2479338843,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Pase,00
2014.0,Tumbes,TUMBES,01,TUMBES,01,TUMBES,00023,00010,2,,Muestral,Completa,COSTA,COSTA NORTE,12.5252525253,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,HOJA DE CAMOTE,4120.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,01,TUMBES,00024,00026,3,,Muestral,Completa,COSTA,COSTA NORTE,9.3939393939,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,01,TUMBES,00024,00101,14,,Muestral,Completa,COSTA,COSTA NORTE,9.3939393939,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,05,SAN JACINTO,00034,00032,4,,Muestral,Completa,COSTA,COSTA NORTE,8.7692307692,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Pase,00
2014.0,Tumbes,TUMBES,01,TUMBES,05,SAN JACINTO,00037,00017,3,,Muestral,Completa,COSTA,COSTA NORTE,9.3939393939,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Pase,00
2014.0,Tumbes,TUMBES,01,TUMBES,05,SAN JACINTO,00037,00040,7,,Muestral,Completa,COSTA,COSTA NORTE,9.3939393939,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,05,SAN JACINTO,00037,00046,8,,Muestral,Completa,COSTA,COSTA NORTE,9.3939393939,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Pase,00
2014.0,Tumbes,TUMBES,01,TUMBES,05,SAN JACINTO,00037,00051,9,,Muestral,Completa,COSTA,COSTA NORTE,9.3939393939,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,05,SAN JACINTO,00037,00075,14,,Muestral,Completa,COSTA,COSTA NORTE,9.3939393939,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,05,SAN JACINTO,00040,00018,2,,Muestral,Completa,COSTA,COSTA NORTE,8.9285714286,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,05,SAN JACINTO,00040,00053,6,,Muestral,Completa,COSTA,COSTA NORTE,8.9285714286,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,05,SAN JACINTO,00044,00066,9,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,05,SAN JACINTO,00044,00107,13,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,05,SAN JACINTO,00044,00108,14,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00045,00031,3,,Muestral,Completa,COSTA,COSTA NORTE,10.5384615385,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Pase,00
2014.0,Tumbes,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00052,00068,11,,Muestral,Completa,COSTA,COSTA NORTE,8.0519480519,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,BOLITAS DE CHOCOLATE,8888.0,Pase,Consumo del hogar,Otros,00
2014.0,Tumbes,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00052,00075,12,,Muestral,Completa,COSTA,COSTA NORTE,8.0519480519,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,BOLITAS DE CHOCOLATE,8888.0,Pase,Consumo del hogar,Pase,00
2014.0,Tumbes,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00059,00058,8,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,BOLITAS DE CHOCOLATE,8888.0,Pase,Consumo del hogar,Pase,00
2014.0,Tumbes,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00059,00083,12,,Muestral,Completa,COSTA,COSTA NORTE,8.6713286713,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,BOLITAS DE CHOCOLATE,8888.0,Pase,Consumo del hogar,Otros,00
2014.0,Tumbes,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00062,00091,11,,Muestral,Completa,COSTA,COSTA NORTE,8.4285714286,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,TABLETAS DE CHOCOLATE,4135.0,Venta,Consumo del hogar,Pase,00
2014.0,Tumbes,TUMBES,03,ZARUMILLA,04,PAPAYAL,00066,00032,5,,Muestral,Completa,COSTA,COSTA NORTE,8.0519480519,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,BOLITAS DE CHOCOLATE,8888.0,Pase,Consumo del hogar,Pase,00
2014.0,Tumbes,TUMBES,03,ZARUMILLA,03,MATAPALO,00070,00017,3,,Muestral,Completa,COSTA,COSTA NORTE,10.8571428571,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Tumbes,TUMBES,03,ZARUMILLA,03,MATAPALO,00070,00132,13,,Muestral,Completa,COSTA,COSTA NORTE,10.8571428571,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,05,PAITA,05,LA HUACA,00093,00048,2,EMPRESAS,Censal,Completa,COSTA,,1.2574257,Grandes productores/as agropecuarios/as,Agricola,pase,1.0,ETANOL,8888.0,Venta,Pase,Pase,00
2014.0,Piura,PIURA,05,PAITA,04,COLAN,00097,00006,1,,Muestral,Completa,COSTA,COSTA NORTE,145.4396551724,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,HOJA DE CAMOTE,4120.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,05,PAITA,04,COLAN,00097,00073,9,,Muestral,Completa,COSTA,COSTA NORTE,145.4396551724,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,HOJA DE CAMOTE,4120.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,05,PAITA,04,COLAN,00108,00004,1,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,06,SULLANA,03,IGNACIO ESCUDERO,00120,00052,7,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Otros,00
2014.0,Piura,PIURA,06,SULLANA,04,LANCONES,00158,00025,2,,Muestral,Completa,COSTA,COSTA NORTE,174.5275862069,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,06,SULLANA,04,LANCONES,00158,00074,5,,Muestral,Completa,COSTA,COSTA NORTE,174.5275862069,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,06,SULLANA,04,LANCONES,00158,00091,6,,Muestral,Completa,COSTA,COSTA NORTE,174.5275862069,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,06,SULLANA,04,LANCONES,00158,00098,7,,Muestral,Completa,COSTA,COSTA NORTE,174.5275862069,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Otros,00
2014.0,Piura,PIURA,06,SULLANA,04,LANCONES,00158,00114,9,,Muestral,Completa,COSTA,COSTA NORTE,174.5275862069,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,06,SULLANA,08,SALITRAL,00212,00005,1,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,"PAJA (CEBADA, TRIGO, AVENA, ARROZ)",4128.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,06,SULLANA,08,SALITRAL,00212,00008,2,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,"PAJA (CEBADA, TRIGO, AVENA, ARROZ)",4128.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,06,SULLANA,08,SALITRAL,00212,00023,3,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,"PAJA (CEBADA, TRIGO, AVENA, ARROZ)",4128.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,06,SULLANA,08,SALITRAL,00212,00029,4,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,06,SULLANA,08,SALITRAL,00212,00038,5,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,"PAJA (CEBADA, TRIGO, AVENA, ARROZ)",4128.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,06,SULLANA,08,SALITRAL,00212,00041,6,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,"PAJA (CEBADA, TRIGO, AVENA, ARROZ)",4128.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,06,SULLANA,01,SULLANA,00238,00118,4,GRANJAS AVÍCOLAS,Muestral,Completa,COSTA,,5.5106383,Grandes productores/as agropecuarios/as,Agricola,Pecuaria,1.0,PANCA DE CHOCLO,4129.0,Venta,Pase,Pase,00
2014.0,Piura,PIURA,06,SULLANA,01,SULLANA,00238,00151,9,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,HOJA DE CAMOTE,4120.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,02,AYABACA,10,SUYO,00267,00001,1,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,02,AYABACA,10,SUYO,00267,00014,2,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Venta,Pase,Pase,00
2014.0,Piura,PIURA,02,AYABACA,10,SUYO,00267,00028,5,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,02,AYABACA,10,SUYO,00267,00044,6,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,02,AYABACA,10,SUYO,00267,00071,8,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,02,AYABACA,10,SUYO,00267,00086,9,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,02,AYABACA,10,SUYO,00267,00109,11,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,02,AYABACA,10,SUYO,00267,00134,13,,Muestral,Completa,COSTA,COSTA NORTE,134.2519893899,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,02,AYABACA,03,JILILI,00275,00003,1,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,03,JILILI,00275,00017,3,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,03,JILILI,00275,00029,5,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,03,JILILI,00275,00040,6,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,03,JILILI,00275,00050,7,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,03,JILILI,00275,00061,8,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,03,JILILI,00275,00076,9,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,03,JILILI,00275,00092,10,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,PANELA GRANULADA,8888.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,03,JILILI,00275,00110,12,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,03,JILILI,00275,00120,13,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,AGUARDIENTE (CAÑAZO),4103.0,Venta,Pase,Pase,00
2014.0,Piura,PIURA,02,AYABACA,09,SICCHEZ,00279,00026,3,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Pase,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,09,SICCHEZ,00283,00008,2,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,09,SICCHEZ,00283,00016,3,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,09,SICCHEZ,00283,00032,5,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,02,AYABACA,09,SICCHEZ,00283,00048,8,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,09,SICCHEZ,00283,00055,9,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,09,SICCHEZ,00283,00061,10,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,09,SICCHEZ,00283,00077,12,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Pase,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,01,AYABACA,00325,00002,1,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,01,AYABACA,00325,00033,5,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,01,AYABACA,00325,00058,8,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,AGUARDIENTE (CAÑAZO),4103.0,Venta,Pase,Pase,00
2014.0,Piura,PIURA,02,AYABACA,01,AYABACA,00325,00066,9,,Muestral,Completa,SIERRA,SIERRA NORTE,73.3803571429,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHANCACA,4106.0,Venta,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,01,AYABACA,00336,00067,6,,Muestral,Completa,SIERRA,SIERRA NORTE,79.025,Pequeños y medianos productores/as agropecuarios/as,Agricola,pase,1.0,CHANCACA,4106.0,Pase,Consumo del hogar,Pase,00
2014.0,Piura,PIURA,02,AYABACA,05,MONTERO,00357,00014,2,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
2014.0,Piura,PIURA,02,AYABACA,05,MONTERO,00357,00018,3,,Muestral,Completa,COSTA,COSTA NORTE,124.6625615764,Pequeños y medianos productores/as agropecuarios/as,Agricola,Pecuaria,1.0,CHALA DE MAIZ,4105.0,Pase,Pase,Otros,00
