ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_1_PRE_KG,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00113,15,Completa,Costa,Costa Norte,8.466666666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,9.0,000,TONELADA,22,1000.0,0.0,000,,,,,9.0,000,0.0,000,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00158,10,Completa,Costa,Costa Norte,14.399999999999999,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,75.0,000,CARGA,09,70.0,0.0,000,,,,,75.0,000,0.0,000,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00168,11,Completa,Costa,Costa Norte,14.399999999999999,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,90.0,000,CARGA,09,60.0,0.0,000,,,,,90.0,000,0.0,000,
2022.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00203,14,Completa,Costa,Costa Norte,14.399999999999999,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,225.0,000,CARGA,09,70.0,175.0,000,20.0,00,3500.0,0.2857,50.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,02,CORRALES,00018,00001,1,Completa,Costa,Costa Norte,6.35,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,120.0,000,TERCIO,20,40.0,0.0,000,,,,,120.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,02,CORRALES,00018,00044,9,Completa,Costa,Costa Norte,6.35,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,60.0,000,TERCIO,20,40.0,0.0,000,,,,,60.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,02,CORRALES,00018,00056,10,Completa,Costa,Costa Norte,6.35,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,20.0,000,TERCIO,20,40.0,0.0,000,,,,,20.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,02,CORRALES,00018,00067,13,Completa,Costa,Costa Norte,6.35,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,500.0,000,TERCIO,20,40.0,500.0,000,10.0,00,5000.0,0.25,0.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,02,CORRALES,00019,00008,2,Completa,Costa,Costa Norte,6.35,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,3.0,000,CARGA,09,80.0,3.0,000,7.0,00,21.0,0.0875,0.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,02,CORRALES,00019,00034,7,Completa,Costa,Costa Norte,6.35,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,40.0,000,CARGA,09,30.0,0.0,000,,,,,40.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,02,CORRALES,00019,00048,8,Completa,Costa,Costa Norte,6.35,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,1250.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,1250.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,02,CORRALES,00019,00063,11,Completa,Costa,Costa Norte,6.35,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,ARROZ CASCARA,2101.0,"PAJA (CEBADA, TRIGO, AVENA, ARROZ)",4128.0,2000.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,0.0,000,2000.0,000,
2022.0,24,TUMBES,01,TUMBES,02,CORRALES,00021,00046,8,Completa,Costa,Costa Norte,6.803571428571428,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,800.0,000,KILOGRAMO,12,1.0,800.0,000,0.0,50,400.0,0.5,0.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00015,3,Completa,Costa,Costa Norte,6.803571428571428,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,500.0,000,TERCIO,20,40.0,500.0,000,10.0,00,5000.0,0.25,0.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00031,5,Completa,Costa,Costa Norte,6.803571428571428,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,160.0,000,TERCIO,20,40.0,0.0,000,,,,,160.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00042,6,Completa,Costa,Costa Norte,6.803571428571428,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,160.0,000,TERCIO,20,40.0,160.0,000,10.0,00,1600.0,0.25,0.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00044,7,Completa,Costa,Costa Norte,6.803571428571428,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,50.0,000,CARGA,09,80.0,25.0,000,10.0,00,250.0,0.125,0.0,000,25.0,000,
2022.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00074,13,Completa,Costa,Costa Norte,6.803571428571428,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,40.0,000,TERCIO,20,40.0,0.0,000,,,,,0.0,000,40.0,000,
2022.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00083,15,Completa,Costa,Costa Norte,6.803571428571428,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,8.0,000,CAMIONADA,08,1500.0,0.0,000,,,,,0.0,000,8.0,000,
2022.0,24,TUMBES,01,TUMBES,01,TUMBES,00028,00017,3,Completa,Costa,Costa Norte,6.349999999999999,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,10.0,000,CAMIONADA,08,1000.0,10.0,000,200.0,00,2000.0,0.2,0.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,01,TUMBES,00028,00055,12,Completa,Costa,Costa Norte,6.349999999999999,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,10.0,000,TERCIO,20,50.0,0.0,000,,,,,0.0,000,10.0,000,
2022.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00030,00010,3,Completa,Costa,Costa Norte,6.803571428571428,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,5000.0,000,KILOGRAMO,12,1.0,5000.0,000,0.0,10,500.0,0.1,0.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00031,00039,8,Completa,Costa,Costa Norte,6.803571428571427,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,30.0,000,TERCIO,20,40.0,20.0,000,10.0,00,200.0,0.25,10.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00031,00054,13,Completa,Costa,Costa Norte,6.803571428571427,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,20.0,000,TERCIO,20,40.0,20.0,000,10.0,00,200.0,0.25,0.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00024,1,Completa,Costa,Costa Norte,8.8,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,300.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,100.0,000,200.0,000,
2022.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00088,7,Completa,Costa,Costa Norte,8.8,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,10.0,000,CARGA,09,15.0,0.0,000,,,,,0.0,000,10.0,000,
2022.0,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00092,9,Completa,Costa,Costa Norte,8.8,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,750.0,000,KILOGRAMO,12,1.0,750.0,000,0.0,20,150.0,0.2,0.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00036,00019,5,Completa,Costa,Costa Norte,6.349999999999999,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,150.0,000,CARGA,09,60.0,0.0,000,,,,,150.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00036,00036,10,Completa,Costa,Costa Norte,6.349999999999999,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,400.0,000,CARGA,09,80.0,400.0,000,10.0,00,4000.0,0.125,0.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00036,00065,14,Completa,Costa,Costa Norte,6.349999999999999,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,20.0,000,CARGA,09,30.0,0.0,000,,,,,20.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00037,00038,6,Completa,Costa,Costa Norte,6.349999999999999,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,50.0,000,TERCIO,20,20.0,50.0,000,10.0,00,500.0,0.5,0.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00037,00041,9,Completa,Costa,Costa Norte,6.349999999999999,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,30.0,000,CARGA,09,40.0,0.0,000,,,,,30.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00040,00001,1,Completa,Costa,Costa Norte,8.333333333333334,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,20.0,000,TERCIO,20,25.0,0.0,000,,,,,20.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00041,00060,11,Completa,Costa,Costa Norte,10.333333333333334,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,15.0,000,CARGA,09,60.0,0.0,000,,,,,0.0,000,15.0,000,
2022.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00044,00069,9,Completa,Costa,Costa Norte,7.928571428571428,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,300.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,300.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00044,00073,11,Completa,Costa,Costa Norte,7.928571428571428,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,300.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,300.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00044,00095,14,Completa,Costa,Costa Norte,7.928571428571428,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,500.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,500.0,000,0.0,000,
2022.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00047,00105,15,Completa,Costa,Costa Norte,7.6000000000000005,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,40.0,000,TERCIO,20,20.0,0.0,000,,,,,0.0,000,40.0,000,
2022.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00048,00014,4,Completa,Costa,Costa Norte,6.35,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,8.0,000,CARGA,09,20.0,8.0,000,10.0,00,80.0,0.5,0.0,000,0.0,000,
2022.0,24,TUMBES,03,ZARUMILLA,03,MATAPALO,00069,00015,2,Completa,Costa,Costa Norte,19.5,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,300.0,000,CARGA,09,40.0,0.0,000,,,,,300.0,000,0.0,000,
2022.0,24,TUMBES,03,ZARUMILLA,03,MATAPALO,00071,00055,4,Completa,Costa,Costa Norte,12.999999999999998,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,400.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,0.0,000,400.0,000,
2022.0,24,TUMBES,03,ZARUMILLA,03,MATAPALO,00071,00091,10,Completa,Costa,Costa Norte,12.999999999999998,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,600.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,0.0,000,600.0,000,
2022.0,20,PIURA,05,PAITA,06,TAMARINDO,00081,00057,10,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,300.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,300.0,000,0.0,000,
2022.0,20,PIURA,05,PAITA,04,COLAN,00109,00003,1,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1.0,000,TONELADA,22,1000.0,0.0,000,,,,,1.0,000,0.0,000,
2022.0,20,PIURA,05,PAITA,04,COLAN,00109,00003,1,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,CAMOTE,2603.0,RASTROJO DE CAMOTE,4120.0,100.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,100.0,000,0.0,000,
2022.0,20,PIURA,05,PAITA,04,COLAN,00109,00015,2,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAMOTE,2603.0,RASTROJO DE CAMOTE,4120.0,200.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,200.0,000,0.0,000,
2022.0,20,PIURA,05,PAITA,04,COLAN,00109,00015,2,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1.0,000,TONELADA,22,1000.0,0.0,000,,,,,0.0,000,1.0,000,
2022.0,20,PIURA,05,PAITA,04,COLAN,00109,00029,3,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1.0,000,TONELADA,22,1000.0,0.0,000,,,,,1.0,000,0.0,000,
2022.0,20,PIURA,05,PAITA,04,COLAN,00109,00034,4,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1.0,000,TONELADA,22,1000.0,0.0,000,,,,,1.0,000,0.0,000,
2022.0,20,PIURA,05,PAITA,04,COLAN,00109,00051,6,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAMOTE,2603.0,RASTROJO DE CAMOTE,4120.0,0.0,500,TONELADA,22,1000.0,0.0,000,,,,,0.0,300,0.0,200,
2022.0,20,PIURA,05,PAITA,04,COLAN,00109,00061,11,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,1.0,000,TONELADA,22,1000.0,0.0,000,,,,,0.0,500,0.0,500,
2022.0,20,PIURA,05,PAITA,04,COLAN,00109,00061,11,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,CAMOTE,2603.0,RASTROJO DE CAMOTE,4120.0,200.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,200.0,000,0.0,000,
2022.0,20,PIURA,05,PAITA,04,COLAN,00109,00074,15,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAMOTE,2603.0,RASTROJO DE CAMOTE,4120.0,600.0,000,KILOGRAMO,12,1.0,0.0,000,,,,,600.0,000,0.0,000,
2022.0,20,PIURA,06,SULLANA,04,LANCONES,00165,00018,4,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,5.0,000,CAMIONADA,08,150.0,0.0,000,,,,,5.0,000,0.0,000,
2022.0,20,PIURA,06,SULLANA,04,LANCONES,00165,00029,6,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,50.0,000,QUINTAL,18,46.0,0.0,000,,,,,50.0,000,0.0,000,
2022.0,20,PIURA,06,SULLANA,04,LANCONES,00165,00042,9,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,50.0,000,QUINTAL,18,46.0,0.0,000,,,,,50.0,000,0.0,000,
2022.0,20,PIURA,06,SULLANA,04,LANCONES,00165,00047,10,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,50.0,000,QUINTAL,18,46.0,0.0,000,,,,,50.0,000,0.0,000,
2022.0,20,PIURA,06,SULLANA,04,LANCONES,00165,00086,13,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,35.0,000,QUINTAL,18,47.0,0.0,000,,,,,35.0,000,0.0,000,
2022.0,20,PIURA,06,SULLANA,04,LANCONES,00165,00099,15,Completa,Costa,Costa Norte,107.11746031746031,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,80.0,000,QUINTAL,18,46.0,0.0,000,,,,,80.0,000,0.0,000,
2022.0,20,PIURA,06,SULLANA,08,SALITRAL,00207,00084,8,Completa,Costa,Costa Norte,114.76870748299321,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,350.0,000,KILOGRAMO,12,1.0,350.0,000,0.0,50,175.0,0.5,0.0,000,0.0,000,
2022.0,20,PIURA,06,SULLANA,08,SALITRAL,00207,00127,14,Completa,Costa,Costa Norte,114.76870748299321,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,2.0,000,CAMIONADA,08,600.0,2.0,000,220.0,00,440.0,0.3667,0.0,000,0.0,000,
